레시피,필요 식재료 개수,변환된식재료,재료명,url,카테고리,상황태그,국가태그,칼로리,탄수화물,단백질,나트륨,칼슘,비타민c,식재료,해먹지수
3분 미트볼 파스타,6,"즉석미트볼,파스타면,토마토소스,물,파마산치즈가루,양파",3분 미트볼|파스타|토마토소스|물|파마산치즈|양파,https://haemukja.com/recipes/2569,국밥/면/죽,간식/야식|파티/명절요리,양식 요리,461.0,95.8,13.3,1096.1,109.0,22.7,"['즉석미트볼', '파스타면', '토마토소스', '물', '파마산치즈가루', '양파']",4.2
5분 가츠동,6,"치킨까스,사이다,간장,양파,계란,쪽파",치킨까스|사이다|간장|양파|달걀|쪽파,https://haemukja.com/recipes/4588,밥,,퓨전요리|일식 요리,333.3,31.9,26.7,2558.7,60.2,5.2,"['치킨까스', '사이다', '간장', '양파', '계란', '쪽파']",2.8
5분 열무국수,7,"비빔면,계란,열무,설탕,마늘,참기름,사과주스",비빔면|달걀|열무|설탕|다진마늘|참기름|사과주스,https://haemukja.com/recipes/5193,국밥/면/죽,,한식 요리,135.2,7.3,7.7,96.4,27.9,1.4,"['비빔면', '계란', '열무', '설탕', '마늘', '참기름', '사과주스']",2.8
5분제육볶음,3,"돼지고기,양파,대파",돼지고기|양파|대파,https://haemukja.com/recipes/1762,반찬,간식/야식,한식 요리,117.15,3.95,25.55,135.55,19.35,2.75,"['돼지고기', '양파', '대파']",1.6
Angry Potato ,15,"감자,꽈리고추,마늘,소금,설탕,후추,다시마,멸치,육수,사워크림,갈릭솔트,올리브오일,파슬리,체다치즈,파마산치즈가루","감자|꽈리고추|마늘 4개, 소금 약간 , 설탕 조금 , 후츄 초큼|다시마 멸치 육수|사워크림|갈릭 솔트|올리브 오일|파슬리|체다치즈,파마산치즈 중 택 1",https://haemukja.com/recipes/1700,반찬,술안주,양식 요리,106.2,14.8,3.1,18.25,10.8,37.3,"['감자', '꽈리고추', '마늘', '소금', '설탕', '후추', '다시마', '멸치', '육수', '사워크림', '갈릭솔트', '올리브오일', '파슬리', '체다치즈', '파마산치즈가루']",1.7
Apple and Seaweed in Vinegar Sauce,9,"마른해초,사과,설탕,간장,식초,마늘,소금,참깨,참기름",dried seaweed|apple|[Sauce] sugar|soy sauce|vinegar|minced garlic|salt|ground sesame seed|sesame oil,https://haemukja.com/recipes/3084,소스,,이국적인맛|한식 요리,14.55,5.6,0.5,163.85,13.25,1.3,"['마른해초', '사과', '설탕', '간장', '식초', '마늘', '소금', '참깨', '참기름']",3.3
Assorted Cheese Fondue,13,"치즈,애호박,없는단어,닭가슴살,없는단어,녹말가루,과립마늘,토마토,없는단어,캐첩,설탕,후추,후추",cheese|zucchini|morning roll|chicken breast|white wine (or cooking wine)|starch powder|granulated garlic|[sauce] tomato|Gochu-jang (Korean red chili paste)|ketchup|sugar|pepper|pepper,https://haemukja.com/recipes/3153,후식,간식/야식|술안주|손님 접대 요리|파티/명절요리,퓨전요리|이국적인맛|양식 요리,166.05,40.25,16.85,962.9,349.05,8.6,"['치즈', '애호박', '없는단어', '닭가슴살', '없는단어', '녹말가루', '과립마늘', '토마토', '없는단어', '캐첩', '설탕', '후추', '후추']",2.7
Bacon and Pancake,6,"베이컨,팬케이크믹스,물,계란,콩,양송이버섯",bacons|pancake mix|water|eggs|baked beans|button mushroom,https://haemukja.com/recipes/3185,후식,술안주|간식/야식,퓨전요리|양식 요리,3069.6,387.2,92.9,5679.2,615.3,5.2,"['베이컨', '팬케이크믹스', '물', '계란', '콩', '양송이버섯']",2.5
Bacon Pilaf with Oyster Sauce ,9,"밥,없는단어,마요네즈,칠리소스,굴소스,없는단어,계란,소금,후추",rice|bacon (short)|mayonnaise|chili sauce|oyster sauce|onion|eggs|salt|pepper,https://haemukja.com/recipes/3162,밥,,퓨전요리|이국적인맛|한식 요리,124.15,6.55,9.1,557.4,20.8,4.6,"['밥', '없는단어', '마요네즈', '칠리소스', '굴소스', '없는단어', '계란', '소금', '후추']",3.9
Banh Xeo Roll,9,"쌀가루,우유,물,계란,강황가루,없는단어,굴소스,콩나물,라이스페이퍼",[banh xeo] rice powder|milk|water|eggs|turmeric powder|pork (tenderloin)|oyster sauce|green bean sprouts|rice paper,https://haemukja.com/recipes/3155,밥,간식/야식|술안주|손님 접대 요리,동남아/인도 요리|이국적인맛,39.575,17.35,9.975,91.525,29.175,0.575,"['쌀가루', '우유', '물', '계란', '강황가루', '없는단어', '굴소스', '콩나물', '라이스페이퍼']",1.7
